Transaction_ID,Transaction_Date,Terminal_ID,Receipt_Number,Clerk,Sales_Total,Tax,Sales_Ex_Tax
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,HD_Brisket_Triple_Cheese_Toastie,1251,1,10.50,9.55,10.50,0.00
,Pork_Crackling_Cup,111,1,5.50,5.00,5.50,0.00
,600ML_Pepsi_Max,277,1,4.90,4.45,4.90,0.00
,UBER_EATS,15,,20.90,,,
12383554,16052022_122505,211,31,RENSCHE,8.50,0.77,7.73
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Gems,17,1,7.50,6.82,7.50,0.00
,Gravy_PC,336,1,1.00,0.91,1.00,0.00
,EFTPOS,2,,8.50,,,
12383563,16052022_122700,211,32,RENSCHE,20.40,1.86,18.54
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Regular_Chips,11,1,5.50,5.00,5.50,0.00
,Roast_Pork_Wrap,1180,1,10.00,9.09,10.00,0.00
,600ML_Mountain_Dew,283,1,4.90,4.45,4.90,0.00
,EFTPOS,2,,20.40,,,
12383574,16052022_122942,211,33,ROB,34.00,3.09,30.91
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,HD_Pork_Sub,1242,1,12.00,10.91,12.00,0.00
,Pork_Crackling_Cup,111,1,5.50,5.00,5.50,0.00
,HD_ROAST_BEEF_MEAL,864,1,16.50,15.00,16.50,0.00
,UBER_EATS,15,,34.00,,,
12383579,16052022_123107,212,37,RENSCHE,38.40,3.51,34.89
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Beef_Brisket_Burger,754,1,11.50,10.45,11.50,0.00
,Large_Chip_Meal,501,1,4.10,3.73,4.10,0.00
,600ML_Mountain_Dew,283,1,4.90,4.45,4.90,0.00
,Pork_Belly_Burger,904,1,11.50,10.45,11.50,0.00
,Sm_Chip_Meal,32,1,1.50,1.36,1.50,0.00
,600ML_Solo,280,1,4.90,4.45,4.90,0.00
,EFTPOS,2,,38.40,,,
12383590,16052022_123258,211,34,SAM,34.80,3.17,31.63
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Beef_Meal,126,1,18.90,17.18,18.90,0.00
,Regular_Beef_Meal,125,1,15.90,14.45,15.90,0.00
,EFTPOS,2,,34.80,,,
12383594,16052022_123318,212,38,RENSCHE,10.00,0.91,9.09
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,PF_Brisket_&_Cheese_Toastie,1127,1,10.00,9.09,10.00,0.00
,CASH,1,,20.00,,,
,CHANGE,9996,,10.00,,,
12383600,16052022_123436,212,39,RENSCHE,6.50,0.59,5.91
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Regular_Chips,11,1,5.50,5.00,5.50,0.00
,Gravy_PC,336,1,1.00,0.91,1.00,0.00
,EFTPOS,2,,6.50,,,
12383608,16052022_123640,211,35,RENSCHE,16.50,1.50,15.00
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Cheesy_Bacon_Spud,176,1,11.00,10.00,11.00,0.00
,Blue_Bolt_Gatorade,303,1,5.50,5.00,5.50,0.00
,EFTPOS,2,,16.50,,,
12383619,16052022_123845,211,36,SAM,11.70,1.06,10.64
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Tropical_Spud,178,1,11.70,10.64,11.70,0.00
,EFTPOS,2,,11.70,,,
12383629,16052022_124028,211,37,RENSCHE,27.90,2.54,25.36
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Reg_Beef_Sub,70,1,9.00,8.18,9.00,0.00
,Large_Chips,12,1,7.50,6.82,7.50,0.00
,Gravy_PC,336,1,1.00,0.91,1.00,0.00
,Regular_Chips,11,1,5.50,5.00,5.50,0.00
,600ML_Pepsi,276,1,4.90,4.45,4.90,0.00
,EFTPOS,2,,27.90,,,
12383634,16052022_124110,212,40,ROB,21.90,1.99,19.91
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Chips,12,1,7.50,6.82,7.50,0.00
,Gravy_PC,336,1,1.00,0.91,1.00,0.00
,600ML_Sunkist,279,1,4.90,4.45,4.90,0.00
,Large_Gems,17,1,7.50,6.82,7.50,0.00
,Gravy_PC,336,1,1.00,0.91,1.00,0.00
,CASH,1,,50.00,,,
,CHANGE,9996,,28.10,,,
12383661,16052022_124314,211,38,SAM,29.80,2.72,27.08
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
